Year,Host,Winner,Second,Third,Fourth,Goals_scord,Teams,Games,Attendance,Difference
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,434000,434000
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,395000,-39000
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,483000,88000
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1337000,854000
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,140,16,26,943000,-394000
1958,Sweden,Brazil,Sweden,France,West Germany,126,16,35,868000,-75000
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,776000,-92000
1966,England,England,West Germany,Portugal,Soviet Union,89,16,32,1614677,838677
1970,Mexico,Brazil,Italy,West Germany,Uruguay,95,16,32,1673975,59298
1974,Germany,West Germany,Netherlands,Poland,Brazil,97,16,38,1774022,100047
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1610215,-163807
1982,Spain,Italy,West Germany,Poland,France,146,24,52,1856277,246062
1986,Mexico,Argentina,West Germany,France,Belgium,132,24,52,2407431,551154
1990,Italy,West Germany,Argentina,Italy,England,115,24,52,2527348,119917
1994,United States of America,Brazil,Italy,Sweden,Bulgaria,141,24,52,3568567,1041219
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2859234,-709333
2002,South Korea & Japan,Brazil,Germany,Turkey,South Korea,161,32,64,2724604,-134630
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3367000,642396
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,2167984,-1199016
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3441450,1273466
2018,Russia,France,Croatia,Belgium,England,169,32,64,3031768,-409682
