Country,Total Goals,Longitude,Latitude
Algeria,13,2.9999825,28.0000272
Angola,1,17.5691241,-11.8775768
Argentina,135,-64.9672817,-34.9964963
Australia,13,134.755,-24.7761086
Austria,40,14.12456,47.59397
Belgium,65,4.6667145,50.6402809
Bolivia,1,90.5119273,27.549511
Bosnia Herz,4,17.5961467,44.3053476
Brazil,228,-53.2,-10.3333333
Bulgaria,22,25.4856617,42.6073975
Cameroon,18,13.1535811,4.6125522
Chile,40,-71.3187697,-31.7613365
Colombia,30,-72.9088133,4.099917
Costa Rica,18,-84.0739102,10.2735633
Cote dIvoire,13,-84.0739102,10.2735633
Croatia,31,17.0118954,45.5643442
Cuba,5,-80.8328748,23.0131338
Czech,47,33.1451285,34.9823018
Denmark,30,10.3333283,55.670249
Ecuador,12,-79.3666965,-1.3397668
Egypt,5,29.2675469,26.2540493
El Salvador,1,-88.9140683,13.8000382
England,89,-88.9140683,13.8000382
France,115,1.8883335,46.603354
Germany,226,10.4234469,51.0834196
Ghana,13,-1.0800271,8.0300284
Greece,5,21.9877132,38.9953683
Haiti,2,-72.3570972,19.1399952
Honduras,3,-86.0755145,15.2572432
Hungary,86,19.5060937,47.1817585
Iceland,2,-18.1059013,64.9841821
Iran,8,117.8902853,-2.4833826
Iraq,9,44.1749775,33.0955793
Ireland,10,-7.9794599,52.865196
Israel,1,34.8667654,31.5313113
Italy,123,12.674297,42.6384261
Jamaica,3,-77.3947693,18.1850507
Japan,20,139.2394179,36.5748441
Kuwait,2,47.4979476,29.2733964
Mexico,60,-102.0077097,23.6585116
Morocco,14,-7.3362482,31.1728205
Netherlands,84,5.38721,52.15517
New Zealand,4,172.8344077,-41.5000831
Nigeria,22,7.9999721,9.6000359
North Korea,6,167.9587289,-29.0289575
Northern Ireland,13,21.7168387,41.6171214
Norway,6,9.0999715,60.5000209
Panama,1,-81.1308434,8.559559
Paraguay,28,-58.1693445,-23.3165935
Peru,21,-75.0458515,-6.8699697
Poland,46,19.134422,52.215933
Portugal,46,-7.8896263,40.0332629
Romania,30,24.6859225,45.9852129
Russia,23,24.6859225,45.9852129
Saudi Arabia,11,42.3528328,25.6242618
Scotland,23,42.3528328,25.6242618
Senegal,10,-14.4529612,14.4750607
Serbia,6,20.55144,44.1534121
Slovakia,5,19.4528646,48.7411522
Slovenia,10,14.4808369,45.8133113
South Africa,11,24.991639,-28.8166236
South Korea,33,-35.8090698,-54.8432857
Spain,97,-4.8379791,39.3260685
Sweden,78,14.5208584,59.6749712
Switzerland,50,8.2319736,46.7985624
Togo,1,1.0199765,8.7800265
Tunisia,13,9.400138,33.8439408
Turkey,20,34.9249653,38.9597594
UAE,2,179.1582918,-8.6405212
Ukraine,5,31.2718321,49.4871968
Uruguay,86,-56.0201525,-32.8755548
USA,34,-56.0201525,-32.8755548
USSR,52,-56.0201525,-32.8755548
Wales,4,-64.75901598,17.7289564
Yugoslavia,61,47.8915271,16.3471243
